Relatório Meteorológico da Estação: Santa Cruz 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (m/s) (celsius) (hPa) (%) 
01/06/2015 00:00:00 HBV 0.0 ND ND 22.0 ND 88 
01/06/2015 00:15:00 HBV 0.0 ND ND 22.0 ND 88 
01/06/2015 00:30:00 HBV 0.0 ND ND 22.0 ND 87 
01/06/2015 00:45:00 HBV 0.0 ND ND 22.0 ND 86 
01/06/2015 01:00:00 HBV 0.0 ND ND 22.0 ND 85 
01/06/2015 01:15:00 HBV 0.0 ND ND 22.3 ND 83 
01/06/2015 01:30:00 HBV 0.0 ND ND 21.8 ND 84 
01/06/2015 01:45:00 HBV 0.0 ND ND 22.0 ND 85 
01/06/2015 02:00:00 HBV 0.0 ND ND 22.0 ND 85 
01/06/2015 02:15:00 HBV 0.0 ND ND 21.8 ND 86 
01/06/2015 02:30:00 HBV 0.0 ND ND 21.8 ND 86 
01/06/2015 02:45:00 HBV 0.0 ND ND 21.8 ND 86 
01/06/2015 03:00:00 HBV 0.0 ND ND 21.8 ND 86 
01/06/2015 03:15:00 HBV 0.0 ND ND 21.8 ND 86 
01/06/2015 03:30:00 HBV 0.0 ND ND 22.0 ND 84 
01/06/2015 03:45:00 HBV 0.0 ND ND 22.0 ND 83 
01/06/2015 04:00:00 HBV 0.0 ND ND 21.8 ND 86 
01/06/2015 04:15:00 HBV 0.0 ND ND 21.5 ND 88 
01/06/2015 04:30:00 HBV 0.0 ND ND 21.3 ND 90 
01/06/2015 04:45:00 HBV 0.0 ND ND 21.3 ND 91 
01/06/2015 05:00:00 HBV 0.0 ND ND 21.3 ND 91 
01/06/2015 05:15:00 HBV 0.0 ND ND 21.0 ND 91 
01/06/2015 05:30:00 HBV 0.2 ND ND 21.3 ND 92 
01/06/2015 05:45:00 HBV 0.0 ND ND 21.0 ND 93 
01/06/2015 06:00:00 HBV 0.0 ND ND 21.3 ND 94 
