Relatório Meteorológico da Estação: Santa Cruz

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (Km/h)    (celsius)    (hPa)      (%)
01/11/2017  00:00:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  00:15:00  HBV     0.0        ND        ND         22.5       ND       82
01/11/2017  00:30:00  HBV     0.0        ND        ND         22.5       ND       81
01/11/2017  00:45:00  HBV     0.0        ND        ND         22.5       ND       82
01/11/2017  01:00:00  HBV     0.0        ND        ND         22.5       ND       82
01/11/2017  01:15:00  HBV     0.0        ND        ND         22.5       ND       82
01/11/2017  01:30:00  HBV     0.0        ND        ND         22.5       ND       82
01/11/2017  01:45:00  HBV     0.0        ND        ND         22.5       ND       82
01/11/2017  02:00:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  02:15:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  02:30:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  02:45:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  03:00:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  03:15:00  HBV     0.0        ND        ND         22.5       ND       83
01/11/2017  03:30:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  03:45:00  HBV     0.0        ND        ND         22.3       ND       83
01/11/2017  04:00:00  HBV     0.0        ND        ND         22.0       ND       83
01/11/2017  04:15:00  HBV     0.0        ND        ND         22.3       ND       81
01/11/2017  04:30:00  HBV     0.0        ND        ND         22.0       ND       83
01/11/2017  04:45:00  HBV     0.0        ND        ND         22.0       ND       83
01/11/2017  05:00:00  HBV     0.0        ND        ND         22.0       ND       83
01/11/2017  05:15:00  HBV     0.0        ND        ND         22.0       ND       83
01/11/2017  05:30:00  HBV     0.0        ND        ND         22.0       ND       82
01/11/2017  05:45:00  HBV     0.0        ND        ND         21.8       ND       81
01/11/2017  06:00:00  HBV     0.0        ND        ND         22.0       ND       80
01/11/2017  06:15:00  HBV     0.0        ND        ND         21.8       ND       80
01/11/2017  06:30:00  HBV     0.0        ND        ND         21.8       ND       80
01/11/2017  06:45:00  HBV     0.0        ND        ND         21.8       ND       80
01/11/2017  07:00:00  HBV     0.0        ND        ND         22.0       ND       79
01/11/2017  07:15:00  HBV     0.0        ND        ND         22.5       ND       78
01/11/2017  07:30:00  HBV     0.0        ND        ND         22.5       ND       77
01/11/2017  07:45:00  HBV     0.0        ND        ND         23.0       ND       75
01/11/2017  08:00:00  HBV     0.0        ND        ND         23.2       ND       73
01/11/2017  08:15:00  HBV     0.0        ND        ND         23.2       ND       74
01/11/2017  08:30:00  HBV     0.0        ND        ND         23.2       ND       74
01/11/2017  08:45:00  HBV     0.0        ND        ND         23.7       ND       75
01/11/2017  09:00:00  HBV     0.0        ND        ND         23.5       ND       69
01/11/2017  09:15:00  HBV     0.0        ND        ND         23.7       ND       70
01/11/2017  09:30:00  HBV     0.0        ND        ND         23.5       ND       69
01/11/2017  09:45:00  HBV     0.0        ND        ND         24.0       ND       68
01/11/2017  10:00:00  HBV     0.0        ND        ND         23.7       ND       68
01/11/2017  10:15:00  HBV     0.0        ND        ND         24.2       ND       67
01/11/2017  10:30:00  HBV     0.0        ND        ND         23.7       ND       67
01/11/2017  10:45:00  HBV     0.0        ND        ND         24.2       ND       63
01/11/2017  11:00:00  HBV     0.0        ND        ND         24.2       ND       65
01/11/2017  11:15:00  HBV     0.0        ND        ND         24.2       ND       65
01/11/2017  11:30:00  HBV     0.0        ND        ND         24.2       ND       62
01/11/2017  11:45:00  HBV     0.0        ND        ND         24.7       ND       64
01/11/2017  12:00:00  HBV     0.0        ND        ND         25.4       ND       56
01/11/2017  12:15:00  HBV     0.0        ND        ND         25.2       ND       58
01/11/2017  12:30:00  HBV     0.0        ND        ND         25.4       ND       58
01/11/2017  12:45:00  HBV     0.0        ND        ND         25.9       ND       60
01/11/2017  13:00:00  HBV     0.0        ND        ND         25.9       ND       57
01/11/2017  13:15:00  HBV     0.0        ND        ND         25.4       ND       58
01/11/2017  13:30:00  HBV     0.0        ND        ND         25.2       ND       66
01/11/2017  13:45:00  HBV     0.0        ND        ND         24.5       ND       71
01/11/2017  14:00:00  HBV     0.0        ND        ND         24.2       ND       71
01/11/2017  14:15:00  HBV     0.0        ND        ND         24.2       ND       71
01/11/2017  14:30:00  HBV     0.0        ND        ND         24.2       ND       67
01/11/2017  14:45:00  HBV     0.0        ND        ND         24.9       ND       65
01/11/2017  15:00:00  HBV     0.0        ND        ND         24.9       ND       63
01/11/2017  15:15:00  HBV     0.0        ND        ND         24.9       ND       61
01/11/2017  15:30:00  HBV     0.0        ND        ND         24.7       ND       60
01/11/2017  15:45:00  HBV     0.0        ND        ND         24.9       ND       59
01/11/2017  16:00:00  HBV     0.0        ND        ND         24.7       ND       58
01/11/2017  16:15:00  HBV     0.0        ND        ND         24.7       ND       58
01/11/2017  16:30:00  HBV     0.0        ND        ND         24.7       ND       56
01/11/2017  16:45:00  HBV     0.0        ND        ND         24.5       ND       54
01/11/2017  17:00:00  HBV     0.0        ND        ND         24.0       ND       56
01/11/2017  17:15:00  HBV     0.0        ND        ND         23.7       ND       57
01/11/2017  17:30:00  HBV     0.0        ND        ND         23.7       ND       57
01/11/2017  17:45:00  HBV     0.0        ND        ND         23.7       ND       57
01/11/2017  18:00:00  HBV     0.0        ND        ND         23.5       ND       57
01/11/2017  18:15:00  HBV     0.0        ND        ND         23.2       ND       58
01/11/2017  18:30:00  HBV     0.0        ND        ND         23.0       ND       60
01/11/2017  18:45:00  HBV     0.0        ND        ND         22.7       ND       60
01/11/2017  19:00:00  HBV     0.0        ND        ND         22.5       ND       62
01/11/2017  19:15:00  HBV     0.0        ND        ND         22.3       ND       62
01/11/2017  19:30:00  HBV     0.0        ND        ND         22.0       ND       62
01/11/2017  19:45:00  HBV     0.0        ND        ND         22.0       ND       64
01/11/2017  20:00:00  HBV     0.0        ND        ND         22.0       ND       64
01/11/2017  20:15:00  HBV     0.0        ND        ND         21.8       ND       65
01/11/2017  20:30:00  HBV     0.0        ND        ND         21.8       ND       65
01/11/2017  20:45:00  HBV     0.0        ND        ND         21.5       ND       66
01/11/2017  21:00:00  HBV     0.0        ND        ND         21.5       ND       67
01/11/2017  21:15:00  HBV     0.0        ND        ND         21.5       ND       66
01/11/2017  21:30:00  HBV     0.0        ND        ND         21.5       ND       67
01/11/2017  21:45:00  HBV     0.0        ND        ND         21.3       ND       68
01/11/2017  22:00:00  HBV     0.0        ND        ND         21.3       ND       68
01/11/2017  22:15:00  HBV     0.0        ND        ND         21.0       ND       69
01/11/2017  22:30:00  HBV     0.0        ND        ND         21.0       ND       69
01/11/2017  22:45:00  HBV     0.0        ND        ND         20.8       ND       70
01/11/2017  23:00:00  HBV     0.0        ND        ND         20.5       ND       71
01/11/2017  23:15:00  HBV     0.0        ND        ND         21.0       ND       70
01/11/2017  23:30:00  HBV     0.0        ND        ND         20.8       ND       71
01/11/2017  23:45:00  HBV     0.0        ND        ND         20.5       ND       71
02/11/2017  00:00:00  HBV     0.0        ND        ND         21.0       ND       71
02/11/2017  00:15:00  HBV     0.0        ND        ND         20.8       ND       72
02/11/2017  00:30:00  HBV     0.0        ND        ND         20.8       ND       71
02/11/2017  00:45:00  HBV     0.0        ND        ND         21.3       ND       70
02/11/2017  01:00:00  HBV     0.0        ND        ND         21.0       ND       71
02/11/2017  01:15:00  HBV     0.0        ND        ND         20.8       ND       72
02/11/2017  01:30:00  HBV     0.0        ND        ND         20.8       ND       72
02/11/2017  01:45:00  HBV     0.0        ND        ND         20.8       ND       72
02/11/2017  02:00:00  HBV     0.0        ND        ND         20.5       ND       72
02/11/2017  02:15:00  HBV     0.0        ND        ND         20.1       ND       74
02/11/2017  02:30:00  HBV     0.0        ND        ND         19.6       ND       77
02/11/2017  02:45:00  HBV     0.0        ND        ND         19.3       ND       79
02/11/2017  03:00:00  HBV     0.0        ND        ND         19.3       ND       80
02/11/2017  04:15:00  HBV     0.0        ND        ND         17.9       ND       85
02/11/2017  04:30:00  HBV     0.0        ND        ND         17.9       ND       87
02/11/2017  04:45:00  HBV     0.0        ND        ND         18.1       ND       88
02/11/2017  05:00:00  HBV     0.0        ND        ND         18.1       ND       88
02/11/2017  05:15:00  HBV     0.0        ND        ND         17.9       ND       89
02/11/2017  05:30:00  HBV     0.0        ND        ND         17.9       ND       89
02/11/2017  05:45:00  HBV     0.0        ND        ND         17.6       ND       90
02/11/2017  06:00:00  HBV     0.0        ND        ND         17.9       ND       91
02/11/2017  06:15:00  HBV     0.0        ND        ND         17.6       ND       91
02/11/2017  06:30:00  HBV     0.0        ND        ND         17.9       ND       91
02/11/2017  06:45:00  HBV     0.0        ND        ND         18.1       ND       91
02/11/2017  07:00:00  HBV     0.0        ND        ND         18.8       ND       91
02/11/2017  07:15:00  HBV     0.0        ND        ND         19.3       ND       90
02/11/2017  07:30:00  HBV     0.0        ND        ND         19.6       ND       87
02/11/2017  07:45:00  HBV     0.0        ND        ND         20.3       ND       83
02/11/2017  08:00:00  HBV     0.0        ND        ND         20.8       ND       81
02/11/2017  08:15:00  HBV     0.0        ND        ND         21.5       ND       75
02/11/2017  08:30:00  HBV     0.0        ND        ND         22.7       ND       67
02/11/2017  08:45:00  HBV     0.0        ND        ND         23.0       ND       64
02/11/2017  09:00:00  HBV     0.0        ND        ND         23.5       ND       64
02/11/2017  09:15:00  HBV     0.0        ND        ND         23.5       ND       58
02/11/2017  09:30:00  HBV     0.0        ND        ND         23.5       ND       59
02/11/2017  09:45:00  HBV     0.0        ND        ND         24.7       ND       57
02/11/2017  10:00:00  HBV     0.0        ND        ND         24.7       ND       55
02/11/2017  10:15:00  HBV     0.0        ND        ND         25.7       ND       54
02/11/2017  10:30:00  HBV     0.0        ND        ND         24.9       ND       52
02/11/2017  10:45:00  HBV     0.0        ND        ND         25.4       ND       48
02/11/2017  11:00:00  HBV     0.0        ND        ND         25.4       ND       47
02/11/2017  11:15:00  HBV     0.0        ND        ND         25.4       ND       52
02/11/2017  11:30:00  HBV     0.0        ND        ND         25.2       ND       53
02/11/2017  11:45:00  HBV     0.0        ND        ND         25.7       ND       53
02/11/2017  12:00:00  HBV     0.0        ND        ND         25.7       ND       52
02/11/2017  12:15:00  HBV     0.0        ND        ND         26.4       ND       51
02/11/2017  12:30:00  HBV     0.0        ND        ND         26.4       ND       47
02/11/2017  12:45:00  HBV     0.0        ND        ND         26.2       ND       52
02/11/2017  13:00:00  HBV     0.0        ND        ND         25.7       ND       50
02/11/2017  13:15:00  HBV     0.0        ND        ND         26.9       ND       51
02/11/2017  13:30:00  HBV     0.0        ND        ND         26.2       ND       51
02/11/2017  13:45:00  HBV     0.0        ND        ND         26.9       ND       50
02/11/2017  14:00:00  HBV     0.0        ND        ND         27.4       ND       48
02/11/2017  14:15:00  HBV     0.0        ND        ND         26.4       ND       50
02/11/2017  14:30:00  HBV     0.0        ND        ND         26.4       ND       51
02/11/2017  14:45:00  HBV     0.0        ND        ND         26.2       ND       52
02/11/2017  15:00:00  HBV     0.0        ND        ND         25.7       ND       52
02/11/2017  15:15:00  HBV     0.0        ND        ND         25.2       ND       53
02/11/2017  15:30:00  HBV     0.0        ND        ND         24.9       ND       54
02/11/2017  15:45:00  HBV     0.0        ND        ND         24.7       ND       56
02/11/2017  16:00:00  HBV     0.0        ND        ND         24.5       ND       56
02/11/2017  16:15:00  HBV     0.0        ND        ND         24.5       ND       56
02/11/2017  16:30:00  HBV     0.0        ND        ND         24.0       ND       57
02/11/2017  16:45:00  HBV     0.0        ND        ND         24.0       ND       58
02/11/2017  17:00:00  HBV     0.0        ND        ND         24.2       ND       58
02/11/2017  17:15:00  HBV     0.0        ND        ND         24.0       ND       59
02/11/2017  17:30:00  HBV     0.0        ND        ND         24.0       ND       59
02/11/2017  17:45:00  HBV     0.0        ND        ND         24.0       ND       58
02/11/2017  18:00:00  HBV     0.0        ND        ND         24.0       ND       57
02/11/2017  18:15:00  HBV     0.0        ND        ND         23.7       ND       56
02/11/2017  18:30:00  HBV     0.0        ND        ND         23.5       ND       56
02/11/2017  18:45:00  HBV     0.0        ND        ND         23.5       ND       56
02/11/2017  19:00:00  HBV     0.0        ND        ND         23.2       ND       57
02/11/2017  19:15:00  HBV     0.0        ND        ND         23.2       ND       57
02/11/2017  19:30:00  HBV     0.0        ND        ND         23.0       ND       57
02/11/2017  19:45:00  HBV     0.0        ND        ND         23.0       ND       57
02/11/2017  20:00:00  HBV     0.0        ND        ND         23.0       ND       56
02/11/2017  20:15:00  HBV     0.0        ND        ND         22.7       ND       56
02/11/2017  20:30:00  HBV     0.0        ND        ND         22.7       ND       57
02/11/2017  20:45:00  HBV     0.0        ND        ND         22.3       ND       58
02/11/2017  21:00:00  HBV     0.0        ND        ND         22.7       ND       59
02/11/2017  21:15:00  HBV     0.0        ND        ND         23.2       ND       55
02/11/2017  21:30:00  HBV     0.0        ND        ND         22.7       ND       58
02/11/2017  21:45:00  HBV     0.0        ND        ND         23.0       ND       56
02/11/2017  22:00:00  HBV     0.0        ND        ND         23.0       ND       59
02/11/2017  22:15:00  HBV     0.0        ND        ND         22.7       ND       60
02/11/2017  22:30:00  HBV     0.0        ND        ND         22.7       ND       59
02/11/2017  22:45:00  HBV     0.0        ND        ND         22.7       ND       58
02/11/2017  23:00:00  HBV     0.0        ND        ND         23.0       ND       57
02/11/2017  23:15:00  HBV     0.0        ND        ND         22.5       ND       60
02/11/2017  23:30:00  HBV     0.0        ND        ND         22.0       ND       60
02/11/2017  23:45:00  HBV     0.0        ND        ND         21.8       ND       62
03/11/2017  00:00:00  HBV     0.0        ND        ND         21.8       ND       63
03/11/2017  00:15:00  HBV     0.0        ND        ND         21.3       ND       65
03/11/2017  00:30:00  HBV     0.0        ND        ND         21.3       ND       67
03/11/2017  00:45:00  HBV     0.0        ND        ND         20.8       ND       68
03/11/2017  01:00:00  HBV     0.0        ND        ND         20.8       ND       68
03/11/2017  01:15:00  HBV     0.0        ND        ND         20.8       ND       69
03/11/2017  01:30:00  HBV     0.0        ND        ND         20.5       ND       70
03/11/2017  01:45:00  HBV     0.0        ND        ND         20.1       ND       71
03/11/2017  02:00:00  HBV     0.0        ND        ND         19.6       ND       74
03/11/2017  02:15:00  HBV     0.0        ND        ND         19.3       ND       77
03/11/2017  02:30:00  HBV     0.0        ND        ND         18.8       ND       79
03/11/2017  02:45:00  HBV     0.0        ND        ND         18.6       ND       81
03/11/2017  03:00:00  HBV     0.0        ND        ND         18.3       ND       83
03/11/2017  04:15:00  HBV     0.0        ND        ND         19.3       ND       82
03/11/2017  04:30:00  HBV     0.0        ND        ND         19.3       ND       81
03/11/2017  04:45:00  HBV     0.0        ND        ND         19.3       ND       82
03/11/2017  05:00:00  HBV     0.0        ND        ND         19.3       ND       82
03/11/2017  05:15:00  HBV     0.0        ND        ND         19.3       ND       83
03/11/2017  05:30:00  HBV     0.0        ND        ND         19.1       ND       83
03/11/2017  05:45:00  HBV     0.0        ND        ND         19.1       ND       83
03/11/2017  06:00:00  HBV     0.0        ND        ND         19.1       ND       82
03/11/2017  06:15:00  HBV     0.0        ND        ND         19.1       ND       82
03/11/2017  06:30:00  HBV     0.0        ND        ND         19.1       ND       82
03/11/2017  06:45:00  HBV     0.0        ND        ND         19.6       ND       81
03/11/2017  07:00:00  HBV     0.0        ND        ND         20.5       ND       76
03/11/2017  07:15:00  HBV     0.0        ND        ND         21.0       ND       74
03/11/2017  07:30:00  HBV     0.0        ND        ND         21.8       ND       71
03/11/2017  07:45:00  HBV     0.0        ND        ND         22.5       ND       69
03/11/2017  08:00:00  HBV     0.0        ND        ND         23.2       ND       66
03/11/2017  08:15:00  HBV     0.0        ND        ND         24.0       ND       62
03/11/2017  08:30:00  HBV     0.0        ND        ND         24.5       ND       60
03/11/2017  08:45:00  HBV     0.0        ND        ND         25.4       ND       55
03/11/2017  09:00:00  HBV     0.0        ND        ND         26.4       ND       50
03/11/2017  09:15:00  HBV     0.0        ND        ND         26.4       ND       51
03/11/2017  09:30:00  HBV     0.0        ND        ND         26.2       ND       50
03/11/2017  09:45:00  HBV     0.0        ND        ND         27.4       ND       50
03/11/2017  10:00:00  HBV     0.0        ND        ND         27.6       ND       48
03/11/2017  10:15:00  HBV     0.0        ND        ND         27.6       ND       47
03/11/2017  10:30:00  HBV     0.0        ND        ND         28.1       ND       47
03/11/2017  10:45:00  HBV     0.0        ND        ND         28.8       ND       47
03/11/2017  11:00:00  HBV     0.0        ND        ND         28.6       ND       48
03/11/2017  11:15:00  HBV     0.0        ND        ND         28.8       ND       46
03/11/2017  11:30:00  HBV     0.0        ND        ND         29.3       ND       45
03/11/2017  11:45:00  HBV     0.0        ND        ND         29.1       ND       48
03/11/2017  12:00:00  HBV     0.0        ND        ND         29.6       ND       46
03/11/2017  12:15:00  HBV     0.0        ND        ND         29.8       ND       47
03/11/2017  12:30:00  HBV     0.0        ND        ND         29.1       ND       46
03/11/2017  12:45:00  HBV     0.0        ND        ND         30.1       ND       45
03/11/2017  13:00:00  HBV     0.0        ND        ND         30.3       ND       45
03/11/2017  13:15:00  HBV     0.0        ND        ND         31.3       ND       42
03/11/2017  13:30:00  HBV     0.0        ND        ND         30.3       ND       44
03/11/2017  13:45:00  HBV     0.0        ND        ND         30.8       ND       45
03/11/2017  14:00:00  HBV     0.0        ND        ND         31.3       ND       42
03/11/2017  14:15:00  HBV     0.0        ND        ND         31.8       ND       42
03/11/2017  14:30:00  HBV     0.0        ND        ND         32.0       ND       40
03/11/2017  14:45:00  HBV     0.0        ND        ND         32.5       ND       41
03/11/2017  15:00:00  HBV     0.0        ND        ND         31.8       ND       41
03/11/2017  15:15:00  HBV     0.0        ND        ND         32.3       ND       41
03/11/2017  15:30:00  HBV     0.0        ND        ND         32.5       ND       40
03/11/2017  15:45:00  HBV     0.0        ND        ND         32.8       ND       39
03/11/2017  16:00:00  HBV     0.0        ND        ND         32.8       ND       40
03/11/2017  16:15:00  HBV     0.0        ND        ND         32.8       ND       39
03/11/2017  16:30:00  HBV     0.0        ND        ND         33.0       ND       38
03/11/2017  16:45:00  HBV     0.0        ND        ND         33.0       ND       38
03/11/2017  17:00:00  HBV     0.0        ND        ND         33.5       ND       37
03/11/2017  17:15:00  HBV     0.0        ND        ND         33.2       ND       36
03/11/2017  17:30:00  HBV     0.0        ND        ND         32.5       ND       39
03/11/2017  17:45:00  HBV     0.0        ND        ND         33.0       ND       38
03/11/2017  18:00:00  HBV     0.0        ND        ND         32.5       ND       38
03/11/2017  18:15:00  HBV     0.0        ND        ND         32.8       ND       38
03/11/2017  18:30:00  HBV     0.0        ND        ND         32.5       ND       39
03/11/2017  18:45:00  HBV     0.0        ND        ND         31.5       ND       41
03/11/2017  19:00:00  HBV     0.0        ND        ND         30.6       ND       44
03/11/2017  19:15:00  HBV     0.0        ND        ND         29.8       ND       46
03/11/2017  19:30:00  HBV     0.0        ND        ND         29.3       ND       50
03/11/2017  19:45:00  HBV     0.0        ND        ND         29.1       ND       50
03/11/2017  20:00:00  HBV     0.0        ND        ND         28.8       ND       49
03/11/2017  20:15:00  HBV     0.0        ND        ND         27.4       ND       59
03/11/2017  20:30:00  HBV     0.0        ND        ND         27.1       ND       63
03/11/2017  20:45:00  HBV     0.0        ND        ND         25.4       ND       75
03/11/2017  21:00:00  HBV     0.0        ND        ND         24.7       ND       79
03/11/2017  21:15:00  HBV     0.0        ND        ND         24.5       ND       79
03/11/2017  21:30:00  HBV     0.0        ND        ND         24.5       ND       81
03/11/2017  21:45:00  HBV     0.0        ND        ND         24.2       ND       82
03/11/2017  22:00:00  HBV     0.0        ND        ND         24.0       ND       82
03/11/2017  22:15:00  HBV     0.0        ND        ND         23.7       ND       83
03/11/2017  22:30:00  HBV     0.0        ND        ND         23.7       ND       84
03/11/2017  22:45:00  HBV     0.0        ND        ND         23.5       ND       84
03/11/2017  23:00:00  HBV     0.0        ND        ND         23.5       ND       84
03/11/2017  23:15:00  HBV     0.0        ND        ND         23.5       ND       84
03/11/2017  23:30:00  HBV     0.0        ND        ND         23.7       ND       83
03/11/2017  23:45:00  HBV     0.0        ND        ND         23.7       ND       82
04/11/2017  00:00:00  HBV     0.0        ND        ND         23.7       ND       80
04/11/2017  00:15:00  HBV     0.0        ND        ND         24.0       ND       78
04/11/2017  00:30:00  HBV     0.0        ND        ND         24.0       ND       76
04/11/2017  00:45:00  HBV     0.0        ND        ND         24.0       ND       78
04/11/2017  01:00:00  HBV     0.0        ND        ND         23.7       ND       78
04/11/2017  01:15:00  HBV     0.0        ND        ND         23.7       ND       78
04/11/2017  01:30:00  HBV     0.0        ND        ND         23.7       ND       78
04/11/2017  01:45:00  HBV     0.0        ND        ND         23.2       ND       80
04/11/2017  02:00:00  HBV     0.0        ND        ND         23.0       ND       81
04/11/2017  02:15:00  HBV     0.0        ND        ND         23.0       ND       80
04/11/2017  02:30:00  HBV     0.0        ND        ND         23.7       ND       73
04/11/2017  02:45:00  HBV     0.0        ND        ND         25.2       ND       63
04/11/2017  03:00:00  HBV     0.0        ND        ND         25.4       ND       62
04/11/2017  04:15:00  HBV     0.0        ND        ND         25.7       ND       61
04/11/2017  04:30:00  HBV     0.0        ND        ND         25.7       ND       61
04/11/2017  04:45:00  HBV     0.0        ND        ND         25.7       ND       61
04/11/2017  05:00:00  HBV     0.0        ND        ND         25.4       ND       61
04/11/2017  05:15:00  HBV     0.0        ND        ND         25.2       ND       62
04/11/2017  05:30:00  HBV     0.0        ND        ND         25.2       ND       63
04/11/2017  05:45:00  HBV     0.0        ND        ND         24.9       ND       63
04/11/2017  06:00:00  HBV     0.0        ND        ND         24.7       ND       63
04/11/2017  06:15:00  HBV     0.0        ND        ND         25.2       ND       63
04/11/2017  06:30:00  HBV     0.0        ND        ND         25.2       ND       63
04/11/2017  06:45:00  HBV     0.0        ND        ND         25.7       ND       61
04/11/2017  07:00:00  HBV     0.0        ND        ND         26.2       ND       60
04/11/2017  07:15:00  HBV     0.0        ND        ND         26.9       ND       58
04/11/2017  07:30:00  HBV     0.0        ND        ND         27.6       ND       56
04/11/2017  07:45:00  HBV     0.0        ND        ND         28.4       ND       54
04/11/2017  08:00:00  HBV     0.0        ND        ND         28.8       ND       53
04/11/2017  08:15:00  HBV     0.0        ND        ND         28.8       ND       52
04/11/2017  08:30:00  HBV     0.0        ND        ND         29.1       ND       52
04/11/2017  08:45:00  HBV     0.0        ND        ND         29.3       ND       50
04/11/2017  09:00:00  HBV     0.0        ND        ND         29.6       ND       51
04/11/2017  09:15:00  HBV     0.0        ND        ND         30.6       ND       49
04/11/2017  09:30:00  HBV     0.0        ND        ND         30.3       ND       48
04/11/2017  09:45:00  HBV     0.0        ND        ND         30.6       ND       47
04/11/2017  10:00:00  HBV     0.0        ND        ND         30.6       ND       46
04/11/2017  10:15:00  HBV     0.0        ND        ND         30.1       ND       48
04/11/2017  10:30:00  HBV     0.0        ND        ND         30.6       ND       47
04/11/2017  10:45:00  HBV     0.0        ND        ND         30.6       ND       46
04/11/2017  11:00:00  HBV     0.0        ND        ND         31.0       ND       46
04/11/2017  11:15:00  HBV     0.0        ND        ND         30.8       ND       46
04/11/2017  11:30:00  HBV     0.0        ND        ND         31.5       ND       46
04/11/2017  11:45:00  HBV     0.0        ND        ND         31.8       ND       45
04/11/2017  12:00:00  HBV     0.0        ND        ND         31.3       ND       46
04/11/2017  12:15:00  HBV     0.0        ND        ND         31.3       ND       47
04/11/2017  12:30:00  HBV     0.0        ND        ND         31.5       ND       48
04/11/2017  12:45:00  HBV     0.0        ND        ND         32.0       ND       46
04/11/2017  13:00:00  HBV     0.0        ND        ND         32.8       ND       44
04/11/2017  13:15:00  HBV     0.0        ND        ND         33.2       ND       43
04/11/2017  13:30:00  HBV     0.0        ND        ND         33.5       ND       41
04/11/2017  13:45:00  HBV     0.0        ND        ND         33.7       ND       42
04/11/2017  14:00:00  HBV     0.0        ND        ND         34.5       ND       40
04/11/2017  14:15:00  HBV     0.0        ND        ND         34.0       ND       40
04/11/2017  14:30:00  HBV     0.0        ND        ND         34.7       ND       39
04/11/2017  14:45:00  HBV     0.0        ND        ND         35.2       ND       37
04/11/2017  15:00:00  HBV     0.0        ND        ND         35.2       ND       38
04/11/2017  15:15:00  HBV     0.0        ND        ND         35.4       ND       38
04/11/2017  15:30:00  HBV     0.0        ND        ND         35.0       ND       40
04/11/2017  15:45:00  HBV     0.0        ND        ND         34.7       ND       40
04/11/2017  16:00:00  HBV     0.0        ND        ND         35.2       ND       39
04/11/2017  16:15:00  HBV     0.0        ND        ND         34.7       ND       40
04/11/2017  16:30:00  HBV     0.0        ND        ND         35.4       ND       38
04/11/2017  16:45:00  HBV     0.0        ND        ND         35.2       ND       37
04/11/2017  17:00:00  HBV     0.0        ND        ND         35.2       ND       38
04/11/2017  17:15:00  HBV     0.0        ND        ND         35.0       ND       39
04/11/2017  17:30:00  HBV     0.0        ND        ND         35.0       ND       37
04/11/2017  17:45:00  HBV     0.0        ND        ND         34.7       ND       38
04/11/2017  18:00:00  HBV     0.0        ND        ND         34.5       ND       40
04/11/2017  18:15:00  HBV     0.0        ND        ND         33.7       ND       42
04/11/2017  18:30:00  HBV     0.0        ND        ND         33.0       ND       43
04/11/2017  18:45:00  HBV     0.0        ND        ND         33.0       ND       44
04/11/2017  19:00:00  HBV     0.0        ND        ND         32.3       ND       45
04/11/2017  19:15:00  HBV     0.0        ND        ND         31.8       ND       46
04/11/2017  19:30:00  HBV     0.0        ND        ND         31.5       ND       46
04/11/2017  19:45:00  HBV     0.0        ND        ND         31.3       ND       47
04/11/2017  20:00:00  HBV     0.0        ND        ND         31.0       ND       48
04/11/2017  20:15:00  HBV     0.0        ND        ND         30.6       ND       49
04/11/2017  20:30:00  HBV     0.0        ND        ND         30.3       ND       50
04/11/2017  20:45:00  HBV     0.0        ND        ND         30.1       ND       50
04/11/2017  21:00:00  HBV     0.0        ND        ND         29.8       ND       52
04/11/2017  21:15:00  HBV     0.0        ND        ND         29.6       ND       53
04/11/2017  21:30:00  HBV     0.0        ND        ND         29.6       ND       52
04/11/2017  21:45:00  HBV     0.0        ND        ND         29.1       ND       53
04/11/2017  22:00:00  HBV     0.0        ND        ND         29.3       ND       52
04/11/2017  22:15:00  HBV     0.0        ND        ND         29.8       ND       50
04/11/2017  22:30:00  HBV     0.0        ND        ND         29.6       ND       50
04/11/2017  22:45:00  HBV     0.0        ND        ND         29.6       ND       51
04/11/2017  23:00:00  HBV     0.0        ND        ND         29.3       ND       52
04/11/2017  23:15:00  HBV     0.0        ND        ND         29.3       ND       52
04/11/2017  23:30:00  HBV     0.0        ND        ND         29.1       ND       53
04/11/2017  23:45:00  HBV     0.0        ND        ND         29.1       ND       53
05/11/2017  00:00:00  HBV     0.0        ND        ND         29.1       ND       53
05/11/2017  00:15:00  HBV     0.0        ND        ND         29.1       ND       53
05/11/2017  00:30:00  HBV     0.0        ND        ND         25.9       ND       70
05/11/2017  00:45:00  HBV     0.0        ND        ND         24.9       ND       74
05/11/2017  01:00:00  HBV     0.0        ND        ND         24.9       ND       76
05/11/2017  01:15:00  HBV     0.0        ND        ND         24.7       ND       77
05/11/2017  01:30:00  HBV     0.0        ND        ND         24.7       ND       78
05/11/2017  01:45:00  HBV     0.0        ND        ND         24.9       ND       77
05/11/2017  02:00:00  HBV     0.0        ND        ND         24.7       ND       78
05/11/2017  02:15:00  HBV     0.0        ND        ND         24.7       ND       78
05/11/2017  02:30:00  HBV     0.0        ND        ND         24.5       ND       79
05/11/2017  02:45:00  HBV     0.0        ND        ND         24.7       ND       78
05/11/2017  03:00:00  HBV     0.0        ND        ND         24.7       ND       77
