Relatório Meteorológico da Estação: Irajá

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (Km/h)    (celsius)    (hPa)      (%)
01/02/2017  00:00:00  HBV     0.0        ND        ND         26.4       ND       75
01/02/2017  00:15:00  HBV     0.0        ND        ND         26.4       ND       76
01/02/2017  00:30:00  HBV     0.0        ND        ND         26.4       ND       77
01/02/2017  00:45:00  HBV     0.0        ND        ND         26.2       ND       77
01/02/2017  01:00:00  HBV     0.0        ND        ND         26.2       ND       78
01/02/2017  01:15:00  HBV     0.0        ND        ND         26.2       ND       78
01/02/2017  01:30:00  HBV     0.0        ND        ND         26.2       ND       80
01/02/2017  01:45:00  HBV     0.0        ND        ND         25.9       ND       80
01/02/2017  02:00:00  HBV     0.0        ND        ND         26.2       ND       81
01/02/2017  02:15:00  HBV     0.0        ND        ND         26.2       ND       81
01/02/2017  02:30:00  HBV     0.0        ND        ND         25.9       ND       82
01/02/2017  02:45:00  HBV     0.0        ND        ND         25.9       ND       82
01/02/2017  03:00:00  HBV     0.0        ND        ND         25.7       ND       82
01/02/2017  03:15:00  HBV     0.0        ND        ND         25.7       ND       82
01/02/2017  03:30:00  HBV     0.0        ND        ND         25.4       ND       83
01/02/2017  03:45:00  HBV     0.0        ND        ND         25.4       ND       83
01/02/2017  04:00:00  HBV     0.0        ND        ND         25.4       ND       83
01/02/2017  04:15:00  HBV     0.0        ND        ND         25.2       ND       84
01/02/2017  04:30:00  HBV     0.0        ND        ND         25.4       ND       85
01/02/2017  04:45:00  HBV     0.0        ND        ND         25.4       ND       84
01/02/2017  05:00:00  HBV     0.0        ND        ND         25.4       ND       84
01/02/2017  05:15:00  HBV     0.0        ND        ND         25.4       ND       84
01/02/2017  05:30:00  HBV     0.0        ND        ND         25.4       ND       84
01/02/2017  05:45:00  HBV     0.0        ND        ND         25.2       ND       84
01/02/2017  06:00:00  HBV     0.0        ND        ND         25.2       ND       84
01/02/2017  06:15:00  HBV     0.0        ND        ND         25.2       ND       85
01/02/2017  06:30:00  HBV     0.0        ND        ND         25.2       ND       86
01/02/2017  06:45:00  HBV     0.0        ND        ND         25.4       ND       86
01/02/2017  07:00:00  HBV     0.0        ND        ND         25.7       ND       84
01/02/2017  07:15:00  HBV     0.0        ND        ND         26.2       ND       83
01/02/2017  07:30:00  HBV     0.0        ND        ND         26.4       ND       81
01/02/2017  07:45:00  HBV     0.0        ND        ND         26.7       ND       80
01/02/2017  08:00:00  HBV     0.0        ND        ND         26.7       ND       80
01/02/2017  08:15:00  HBV     0.0        ND        ND         26.9       ND       79
01/02/2017  08:30:00  HBV     0.0        ND        ND         27.4       ND       77
01/02/2017  08:45:00  HBV     0.0        ND        ND         27.9       ND       74
01/02/2017  09:00:00  HBV     0.0        ND        ND         28.4       ND       72
01/02/2017  09:15:00  HBV     0.0        ND        ND         29.1       ND       69
01/02/2017  09:30:00  HBV     0.0        ND        ND         27.9       ND       73
01/02/2017  09:45:00  HBV     0.0        ND        ND         29.8       ND       65
01/02/2017  10:00:00  HBV     0.0        ND        ND         29.8       ND       64
01/02/2017  10:15:00  HBV     0.0        ND        ND         29.8       ND       65
01/02/2017  10:30:00  HBV     0.0        ND        ND         30.1       ND       61
01/02/2017  10:45:00  HBV     0.0        ND        ND         29.1       ND       63
01/02/2017  11:00:00  HBV     0.0        ND        ND         30.8       ND       57
01/02/2017  11:15:00  HBV     0.0        ND        ND         30.6       ND       57
01/02/2017  11:30:00  HBV     0.0        ND        ND         30.1       ND       59
01/02/2017  11:45:00  HBV     0.0        ND        ND         30.8       ND       57
01/02/2017  12:00:00  HBV     0.0        ND        ND         31.0       ND       58
01/02/2017  12:15:00  HBV     0.0        ND        ND         30.3       ND       59
01/02/2017  12:30:00  HBV     0.0        ND        ND         31.5       ND       54
01/02/2017  12:45:00  HBV     0.0        ND        ND         32.3       ND       52
01/02/2017  13:00:00  HBV     0.0        ND        ND         33.2       ND       48
01/02/2017  13:15:00  HBV     0.0        ND        ND         33.0       ND       48
01/02/2017  13:30:00  HBV     0.0        ND        ND         32.0       ND       49
01/02/2017  13:45:00  HBV     0.0        ND        ND         33.5       ND       46
01/02/2017  14:00:00  HBV     0.0        ND        ND         32.0       ND       47
01/02/2017  14:15:00  HBV     0.0        ND        ND         32.8       ND       45
01/02/2017  14:30:00  HBV     0.0        ND        ND         33.0       ND       41
