Relatório Pluviométrico da Estação: Grajau

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/11/1997  00:01:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  00:16:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  00:31:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  00:46:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  01:01:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  01:16:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  01:31:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  01:46:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  02:01:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  02:16:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  02:31:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  02:46:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  03:01:40  HBV      0.0    0.0    0.0    0.4    0.4
01/11/1997  03:16:40  HBV      0.0    0.0    0.0    0.2    0.4
01/11/1997  03:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  03:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  04:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  04:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  04:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  04:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  05:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  05:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  05:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  05:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  06:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  06:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  06:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  06:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  07:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  07:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  07:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  07:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  08:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  08:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  08:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  08:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  09:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  09:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  09:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  09:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  10:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  10:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  10:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  10:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  11:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  11:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  11:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  11:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  12:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  12:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  12:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  12:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  13:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  13:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  13:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  13:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  14:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  14:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  14:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  14:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  15:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  15:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  15:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  15:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  16:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  16:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  16:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  16:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  17:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  17:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  17:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  17:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  18:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  18:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  18:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  18:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  19:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  19:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  19:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  19:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  20:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  20:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  20:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  20:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  21:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  21:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  21:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  21:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  22:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  22:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  22:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  22:46:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  23:01:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  23:16:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  23:31:40  HBV      0.0    0.0    0.0    0.0    0.4
01/11/1997  23:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  00:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  00:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  00:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  00:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  01:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  01:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  01:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  01:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  02:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  02:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  02:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  02:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  03:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  03:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  03:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  03:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  04:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  04:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  04:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  04:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  05:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  05:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  05:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  05:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  06:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  06:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  06:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  06:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  07:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  07:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  07:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  07:46:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  08:01:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  08:16:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  08:31:40  HBV      0.0    0.0    0.0    0.0    0.4
02/11/1997  08:46:40  HBV      0.0    0.0    0.0    0.0    0.4
